date,mmwr_year,mmwr_week,state,state_name,population,region,region_name,cases,deaths,hosp,series_complete,booster
2020-01-25,2020,4,AK,Alaska,732441,10,Pacific Northwest,0,0,NA,NA,NA
2020-02-01,2020,5,AK,Alaska,732441,10,Pacific Northwest,0,0,NA,NA,NA
2020-02-08,2020,6,AK,Alaska,732441,10,Pacific Northwest,0,0,NA,NA,NA
2020-02-15,2020,7,AK,Alaska,732441,10,Pacific Northwest,0,0,NA,NA,NA
2020-02-22,2020,8,AK,Alaska,732441,10,Pacific Northwest,0,0,NA,NA,NA
2020-02-29,2020,9,AK,Alaska,732441,10,Pacific Northwest,0,0,NA,NA,NA
2020-03-07,2020,10,AK,Alaska,732441,10,Pacific Northwest,0,0,NA,NA,NA
2020-03-14,2020,11,AK,Alaska,732441,10,Pacific Northwest,0,0,NA,NA,NA
2020-03-21,2020,12,AK,Alaska,732441,10,Pacific Northwest,11,0,NA,NA,NA
2020-03-28,2020,13,AK,Alaska,732441,10,Pacific Northwest,52,NA,NA,NA,NA
2020-04-04,2020,14,AK,Alaska,732441,10,Pacific Northwest,86,NA,NA,NA,NA
2020-04-11,2020,15,AK,Alaska,732441,10,Pacific Northwest,86,NA,NA,NA,NA
2020-04-18,2020,16,AK,Alaska,732441,10,Pacific Northwest,65,NA,NA,NA,NA
2020-04-25,2020,17,AK,Alaska,732441,10,Pacific Northwest,37,0,NA,NA,NA
2020-05-02,2020,18,AK,Alaska,732441,10,Pacific Northwest,18,0,NA,NA,NA
2020-05-09,2020,19,AK,Alaska,732441,10,Pacific Northwest,19,NA,NA,NA,NA
2020-05-16,2020,20,AK,Alaska,732441,10,Pacific Northwest,15,0,NA,NA,NA
2020-05-23,2020,21,AK,Alaska,732441,10,Pacific Northwest,15,0,NA,NA,NA
2020-05-30,2020,22,AK,Alaska,732441,10,Pacific Northwest,23,0,NA,NA,NA
2020-06-06,2020,23,AK,Alaska,732441,10,Pacific Northwest,91,0,NA,NA,NA
2020-06-13,2020,24,AK,Alaska,732441,10,Pacific Northwest,98,NA,NA,NA,NA
2020-06-20,2020,25,AK,Alaska,732441,10,Pacific Northwest,97,0,NA,NA,NA
2020-06-27,2020,26,AK,Alaska,732441,10,Pacific Northwest,108,0,NA,NA,NA
2020-07-04,2020,27,AK,Alaska,732441,10,Pacific Northwest,199,NA,NA,NA,NA
2020-07-11,2020,28,AK,Alaska,732441,10,Pacific Northwest,253,NA,NA,NA,NA
2020-07-18,2020,29,AK,Alaska,732441,10,Pacific Northwest,421,NA,NA,NA,NA
2020-07-25,2020,30,AK,Alaska,732441,10,Pacific Northwest,508,NA,NA,NA,NA
2020-08-01,2020,31,AK,Alaska,732441,10,Pacific Northwest,684,NA,NA,NA,NA
2020-08-08,2020,32,AK,Alaska,732441,10,Pacific Northwest,601,NA,28,NA,NA
2020-08-15,2020,33,AK,Alaska,732441,10,Pacific Northwest,491,NA,22,NA,NA
2020-08-22,2020,34,AK,Alaska,732441,10,Pacific Northwest,558,NA,31,NA,NA
2020-08-29,2020,35,AK,Alaska,732441,10,Pacific Northwest,465,NA,31,NA,NA
2020-09-05,2020,36,AK,Alaska,732441,10,Pacific Northwest,474,NA,35,NA,NA
2020-09-12,2020,37,AK,Alaska,732441,10,Pacific Northwest,547,NA,30,NA,NA
2020-09-19,2020,38,AK,Alaska,732441,10,Pacific Northwest,529,NA,38,NA,NA
2020-09-26,2020,39,AK,Alaska,732441,10,Pacific Northwest,642,NA,35,NA,NA
2020-10-03,2020,40,AK,Alaska,732441,10,Pacific Northwest,833,NA,33,NA,NA
2020-10-10,2020,41,AK,Alaska,732441,10,Pacific Northwest,1020,NA,38,NA,NA
2020-10-17,2020,42,AK,Alaska,732441,10,Pacific Northwest,1341,10,62,NA,NA
2020-10-24,2020,43,AK,Alaska,732441,10,Pacific Northwest,1538,NA,54,NA,NA
2020-10-31,2020,44,AK,Alaska,732441,10,Pacific Northwest,2614,10,69,NA,NA
2020-11-07,2020,45,AK,Alaska,732441,10,Pacific Northwest,2727,NA,91,NA,NA
2020-11-14,2020,46,AK,Alaska,732441,10,Pacific Northwest,3598,16,121,NA,NA
2020-11-21,2020,47,AK,Alaska,732441,10,Pacific Northwest,4316,15,121,NA,NA
2020-11-28,2020,48,AK,Alaska,732441,10,Pacific Northwest,4112,21,154,NA,NA
2020-12-05,2020,49,AK,Alaska,732441,10,Pacific Northwest,4524,31,134,NA,NA
2020-12-12,2020,50,AK,Alaska,732441,10,Pacific Northwest,4622,24,102,NA,NA
2020-12-19,2020,51,AK,Alaska,732441,10,Pacific Northwest,3417,20,100,46,0
2020-12-26,2020,52,AK,Alaska,732441,10,Pacific Northwest,2223,24,60,69,0
2021-01-02,2020,53,AK,Alaska,732441,10,Pacific Northwest,1724,10,69,114,0
2021-01-09,2021,1,AK,Alaska,732673,10,Pacific Northwest,2026,13,76,8396,0
2021-01-16,2021,2,AK,Alaska,732673,10,Pacific Northwest,1973,NA,54,13560,0
2021-01-23,2021,3,AK,Alaska,732673,10,Pacific Northwest,1377,NA,35,20111,0
2021-01-30,2021,4,AK,Alaska,732673,10,Pacific Northwest,1181,NA,29,30926,0
2021-02-06,2021,5,AK,Alaska,732673,10,Pacific Northwest,946,NA,25,54621,0
2021-02-13,2021,6,AK,Alaska,732673,10,Pacific Northwest,989,NA,26,82561,0
2021-02-20,2021,7,AK,Alaska,732673,10,Pacific Northwest,807,NA,37,103188,0
2021-02-27,2021,8,AK,Alaska,732673,10,Pacific Northwest,885,NA,33,119627,0
2021-03-06,2021,9,AK,Alaska,732673,10,Pacific Northwest,876,NA,30,142789,0
2021-03-13,2021,10,AK,Alaska,732673,10,Pacific Northwest,910,NA,31,159723,0
2021-03-20,2021,11,AK,Alaska,732673,10,Pacific Northwest,914,NA,42,175968,0
2021-03-27,2021,12,AK,Alaska,732673,10,Pacific Northwest,944,NA,33,193406,0
2021-04-03,2021,13,AK,Alaska,732673,10,Pacific Northwest,1186,NA,45,219138,0
2021-04-10,2021,14,AK,Alaska,732673,10,Pacific Northwest,1208,NA,43,252436,0
2021-04-17,2021,15,AK,Alaska,732673,10,Pacific Northwest,1113,NA,33,272790,0
2021-04-24,2021,16,AK,Alaska,732673,10,Pacific Northwest,1146,NA,50,285570,0
2021-05-01,2021,17,AK,Alaska,732673,10,Pacific Northwest,1042,NA,48,296198,0
2021-05-08,2021,18,AK,Alaska,732673,10,Pacific Northwest,731,13,33,305121,0
2021-05-15,2021,19,AK,Alaska,732673,10,Pacific Northwest,565,10,31,313577,0
2021-05-22,2021,20,AK,Alaska,732673,10,Pacific Northwest,453,NA,16,320554,0
2021-05-29,2021,21,AK,Alaska,732673,10,Pacific Northwest,297,NA,16,326413,0
2021-06-05,2021,22,AK,Alaska,732673,10,Pacific Northwest,230,NA,25,335235,0
2021-06-12,2021,23,AK,Alaska,732673,10,Pacific Northwest,185,NA,17,344302,0
2021-06-19,2021,24,AK,Alaska,732673,10,Pacific Northwest,155,NA,9,350686,0
2021-06-26,2021,25,AK,Alaska,732673,10,Pacific Northwest,237,NA,13,355354,0
2021-07-03,2021,26,AK,Alaska,732673,10,Pacific Northwest,257,NA,18,359157,0
2021-07-10,2021,27,AK,Alaska,732673,10,Pacific Northwest,313,NA,36,362219,0
2021-07-17,2021,28,AK,Alaska,732673,10,Pacific Northwest,572,0,46,365207,0
2021-07-24,2021,29,AK,Alaska,732673,10,Pacific Northwest,1199,NA,76,367909,0
2021-07-31,2021,30,AK,Alaska,732673,10,Pacific Northwest,1546,16,91,370585,0
2021-08-07,2021,31,AK,Alaska,732673,10,Pacific Northwest,1892,26,85,373279,0
2021-08-14,2021,32,AK,Alaska,732673,10,Pacific Northwest,2112,23,123,376583,78
2021-08-21,2021,33,AK,Alaska,732673,10,Pacific Northwest,3001,23,122,380405,1376
2021-08-28,2021,34,AK,Alaska,732673,10,Pacific Northwest,3357,22,131,384491,3384
2021-09-04,2021,35,AK,Alaska,732673,10,Pacific Northwest,3651,38,154,388448,5336
2021-09-11,2021,36,AK,Alaska,732673,10,Pacific Northwest,4264,31,199,392441,7422
2021-09-18,2021,37,AK,Alaska,732673,10,Pacific Northwest,4887,42,192,396747,9287
