state,cum_death,population,death_rate
AK,194,732548.0769230769,26.482903458686096
AL,6886,5031760.230769231,136.85071792356254
AR,4533,3018536.153846154,150.17212877255582
AZ,10334,7223369.076923077,143.0634360497325
CA,47387,39378860.15384615,120.33613927591475
CO,4337,5797120.769230769,74.81300067128815
CT,3486,3602723.230769231,96.76013883685678
DC,579,680842.3846153846,85.04170907736355
DE,1003,997192.7692307692,100.58235788991034
FL,16360,21667407.076923076,75.50511208802763
GA,10320,10759845.846153846,95.91215476092465
HI,132,1447130.3846153845,9.121500135945436
IA,4483,3190704.3846153845,140.50189110641762
ID,1480,1872303.2307692308,79.0470248450058
IL,12662,12732733,99.44447904467957
IN,9122,6795032.153846154,134.2451337016371
KS,4021,2935280.923076923,136.98859173536843
KY,5695,4506466.923076923,126.37394431626208
LA,4164,4638669.461538462,89.76712038928005
MA,4940,7004913.692307692,70.52192527974704
MD,5091,6169194.384615385,82.52293059035124
ME,645,1366880.1538461538,47.187750746478144
MI,8843,10059885.692307692,87.90358330574088
MN,5061,5707268.846153846,88.67639034405451
MO,8320,6160806.846153846,135.04724637153856
MS,4307,2953683.076923077,145.81794619911307
MT,1388,1094536.6923076923,126.81164640297051
NC,10876,10500554.692307692,103.5754807121508
ND,1383,777109.3846153846,177.9672240973501
NE,2256,1962487.4615384615,114.95614847044394
NH,796,1382991.3846153845,57.55639614641351
NJ,8479,9273921.615384616,91.4284199462511
NM,3157,2116786.4615384615,149.14116550544833
NV,3889,3127880.230769231,124.3334051522679
NY,11966,20007693,59.80699523928121
OH,16742,11785708.538461538,142.05340260506253
OK,6966,3973388.5384615385,175.31635611696748
OR,1784,4243672.153846154,42.03906275801991
PA,17540,12977823.923076924,135.15362902104644
PR,1429,3273251.5384615385,43.65689539006967
RI,1488,1095943.3076923077,135.7734464507323
SC,5894,5158410.230769231,114.26000911759739
SD,1683,890919.1538461539,188.90602954649515
TN,9671,6945549.307692308,139.24024683388558
TX,34902,29360862.846153848,118.87252831390144
UT,1877,3307664.4615384615,56.74698935837553
VA,6932,8636765.538461538,80.26152810482328
VT,72,643914.2307692308,11.181613413635477
WA,3059,7727972.846153846,39.58347241763979
WI,6551,5893977.615384615,111.1473512030383
WV,2307,1786641.5384615385,129.1249503796121
WY,541,577975.9230769231,93.60251498365582
