state_name,total_excess_deaths,population,excess_death_rate
Alabama,64368.95947591901,5076013.8,1268.1005610331283
Alaska,11892.840864285121,733124,1622.214095335185
Arizona,76327.19866733934,7355304.6,1037.716353274334
Arkansas,38906.25564803909,3047415.4,1276.6968247269176
California,180105.99097171443,39095803,460.67858222969465
Colorado,44100.036655342294,5844200.4,754.594874182314
Connecticut,8306.713099729415,3610627.6,230.06285942447832
Delaware,5848.953460655783,1018459,574.2944449070392
District of Columbia,3369.4088830630863,675892.8,498.5123207501376
Florida,291457.6684263958,22231165.4,1311.031892310944
Georgia,120751.16682311686,10918129,1105.9694094392626
Hawaii,8307.918138451856,1439376.6,577.1886341942654
Idaho,25216.3066507904,1932551,1304.8197253676824
Illinois,54837.262596286615,12607448.4,434.95924675992813
Indiana,56224.73390183157,6834323.2,822.681811445961
Iowa,17405.598359838914,3200192.2,543.8922812148256
Kansas,20800.525815839588,2937737.6,708.045736141975
Kentucky,57438.060361609794,4516205,1271.8213712975783
Louisiana,54568.41551617961,4595836.2,1187.3446559339866
Maine,11600.288418532178,1385767.6,837.102008917814
Maryland,11487.56584301169,6171589.2,186.13626848351618
Massachusetts,11776.964092860286,6994548.2,168.3734782592575
Michigan,69685.80626877659,10041817.4,693.9561186282533
Minnesota,27440.518160355437,5721650.4,479.59096138337003
Mississippi,41573.2420209727,2943234.4,1412.5019067789062
Missouri,53340.995901125716,6180698.4,863.025380774537
Montana,17743.049375625404,1119461.6,1584.962751346308
Nebraska,11868.81213017433,1970653.6,602.2779513443828
Nevada,35274.825413216,3171102,1112.3838152546339
New Hampshire,5469.866594454302,1396105.8,391.7945613043296
New Jersey,13175.832277477259,9275981.8,142.04245503669767
New Mexico,23026.907491801016,2114723.2,1088.885178533106
New York,50117.643457848564,19713122.4,254.23493265505505
North Carolina,94006.95438222634,10698936,878.6570401227406
North Dakota,4616.546175146015,780129.8,591.7664182480935
Ohio,97235.65594765272,11777345.2,825.6160815227928
Oklahoma,45243.81799929194,4020841.8,1125.2324823944066
Oregon,43483.136516992236,4238542.4,1025.8983493238673
Pennsylvania,79529.88165140485,12968074.2,613.2744185825591
Puerto Rico,12306.296834994731,3229180.8,381.09655659400465
Rhode Island,3122.762602018471,1095282.2,285.1103215243041
South Carolina,61201.31521407261,5285522.4,1157.9047553383296
South Dakota,5487.043612678353,908473,603.9853262208512
Tennessee,88968.89259373827,7052344,1261.550664484578
Texas,285911.4801080223,30037628.2,951.8443939858817
Utah,21093.365856318174,3377227.8,624.5763420613254
Vermont,5946.218580460476,646482.2,919.7807117443413
Virginia,59127.00228729803,8681668.2,681.0557709093056
Washington,54410.457924060975,7780112,699.353144582764
West Virginia,29595.60226586645,1775810.4,1666.5969669885058
Wisconsin,34078.193030699134,5899958.8,577.6005254595868
Wyoming,8220.786881119695,581598.8,1413.4807157648354
